seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
63,1768.02,1768.23,1767.4,1767.51,300,2021-10-18 03:30:49,0:06:25,8299.999999999272,5099.999999999909,0.0,0.0,1767.4,1771.44,1767.4,1772.11,40399.999999999636,47099.999999998094
64,1767.51,1768.19,1767.29,1768.09,300,2021-10-18 03:37:16,0:07:48,9000.00000000091,5799.999999999272,0.0,0.0,1767.29,1771.28,1767.29,1771.82,39900.00000000009,45299.99999999972
65,1768.09,1768.09,1767.37,1767.78,300,2021-10-18 03:45:05,0:08:16,7200.000000000273,3099.9999999994543,0.0,0.0,1767.29,1771.28,1767.29,1771.82,39900.00000000009,45299.99999999972
66,1767.8,1767.93,1767.54,1767.9,300,2021-10-18 03:53:53,0:10:10,3900.0000000010004,1000.0000000013642,0.0,0.0,1767.29,1771.28,1767.29,1771.82,39900.00000000009,45299.99999999972
67,1767.83,1768.69,1767.64,1768.49,300,2021-10-18 04:04:04,0:13:33,10499.999999999545,6600.0000000008185,0.0,0.0,1767.29,1770.94,1767.29,1771.82,36500.00000000091,45299.99999999972
68,1768.5,1768.65,1767.82,1768.65,300,2021-10-18 04:17:38,0:03:49,8300.000000001546,1500.0000000009095,0.0,0.0,1767.29,1770.39,1767.29,1771.82,31000.000000001364,45299.99999999972
69,1768.55,1768.63,1767.66,1767.66,300,2021-10-18 04:21:27,0:11:47,9700.000000000273,8899.999999998727,0.0,0.0,1767.29,1769.99,1767.29,1771.82,27000.000000000455,45299.99999999972
70,1767.67,1767.87,1766.6,1766.91,300,2021-10-18 04:33:14,0:09:41,12699.999999999818,7599.999999999909,0.0,0.0,1766.6,1769.66,1766.6,1771.82,30600.000000001728,52200.00000000028
71,1766.95,1768.05,1766.91,1767.65,300,2021-10-18 04:42:55,0:08:53,11399.999999998727,7000.000000000455,0.0,0.0,1766.6,1769.66,1766.6,1771.82,30600.000000001728,52200.00000000028
72,1767.77,1768.52,1767.63,1768.45,300,2021-10-18 04:51:49,0:11:46,8899.999999998727,6800.000000000637,0.0,0.0,1766.6,1769.12,1766.6,1771.82,25199.999999999818,52200.00000000028
73,1768.45,1769.23,1768.1,1768.81,300,2021-10-18 05:03:36,0:09:04,11300.000000001091,3599.9999999989996,0.0,0.0,1766.6,1769.23,1766.6,1771.82,26300.00000000109,52200.00000000028
74,1768.77,1769.08,1768.2,1768.61,300,2021-10-18 05:12:40,0:09:21,8799.999999998818,1600.0000000008185,0.0,0.0,1766.6,1769.23,1766.6,1771.82,26300.00000000109,52200.00000000028
75,1768.61,1769.26,1768.37,1768.78,300,2021-10-18 05:22:02,0:07:47,8900.000000001,1700.0000000007276,0.0,0.0,1766.6,1769.26,1766.6,1771.82,26600.00000000082,52200.00000000028
76,1768.75,1769.49,1768.37,1768.99,300,2021-10-18 05:29:49,0:04:04,11200.000000001182,2400.000000000091,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
77,1768.99,1769.05,1767.69,1767.96,300,2021-10-18 05:33:53,0:05:09,13599.999999999,10299.999999999727,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
78,1767.95,1769.01,1767.89,1768.84,300,2021-10-18 05:39:03,0:05:58,11199.999999998909,8899.999999998727,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
79,1768.85,1768.97,1768.33,1768.57,300,2021-10-18 05:45:02,0:05:52,6400.000000001,2799.999999999727,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
80,1768.56,1768.68,1768.13,1768.4,300,2021-10-18 05:50:54,0:05:26,5499.999999999545,1599.9999999985448,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
81,1768.43,1768.82,1768.03,1768.71,300,2021-10-18 05:56:20,0:04:01,7899.999999999636,2799.999999999727,0.0,0.0,1766.6,1769.49,1766.6,1771.82,28900.000000001,52200.00000000028
82,1768.71,1768.76,1766.86,1766.86,300,2021-10-18 06:00:22,0:02:26,19000.00000000091,18500.000000001364,0.0,0.0,1766.86,1769.49,1766.6,1771.82,26300.00000000109,52200.00000000028
83,1766.85,1766.94,1765.55,1765.88,300,2021-10-18 06:02:48,0:02:42,13900.000000001,9699.999999998,0.0,0.0,1765.55,1769.49,1765.55,1771.82,39400.000000000546,62699.99999999982
84,1765.81,1765.94,1764.28,1764.91,300,2021-10-18 06:05:30,0:02:26,16600.00000000082,8999.999999998636,0.0,0.0,1764.28,1769.49,1764.28,1771.82,52100.000000000364,75399.99999999964
85,1764.92,1765.01,1762.9,1762.9,300,2021-10-18 06:07:57,0:01:48,21099.999999999,20199.999999999818,0.0,0.0,1762.9,1769.49,1762.9,1771.44,65899.99999999919,85399.99999999964
86,1762.83,1763.02,1762.0,1762.26,300,2021-10-18 06:09:45,0:01:58,10199.999999999818,5699.999999999363,0.0,0.0,1762.0,1769.49,1762.0,1771.44,74900.00000000009,94400.00000000055
87,1762.27,1763.31,1761.95,1763.15,300,2021-10-18 06:11:44,0:01:57,13599.999999999,8800.000000001091,0.0,0.0,1761.95,1769.49,1761.95,1771.44,75399.99999999964,94900.00000000009
88,1763.24,1763.51,1762.17,1762.52,300,2021-10-18 06:13:42,0:02:10,13399.999999999181,7200.000000000273,0.0,0.0,1761.95,1769.05,1761.95,1771.28,70999.9999999991,93299.99999999927
89,1762.42,1762.85,1762.24,1762.83,300,2021-10-18 06:15:52,0:02:30,6099.999999999,4099.999999998545,0.0,0.0,1761.95,1769.01,1761.95,1771.28,70599.99999999945,93299.99999999927
90,1762.82,1763.23,1761.94,1762.33,300,2021-10-18 06:18:22,0:02:21,12899.999999999636,4900.000000000091,0.0,0.0,1761.94,1768.97,1761.94,1771.28,70299.99999999972,93399.99999999919
91,1762.37,1763.21,1762.27,1763.14,300,2021-10-18 06:20:43,0:02:33,9400.000000000546,7700.000000002092,0.0,0.0,1761.94,1768.82,1761.94,1769.99,68799.99999999882,80499.99999999955
92,1763.05,1764.34,1763.02,1763.95,300,2021-10-18 06:23:17,0:02:11,13199.999999999363,9000.00000000091,0.0,0.0,1761.94,1768.82,1761.94,1769.99,68799.99999999882,80499.99999999955
93,1763.92,1764.13,1763.5,1763.95,300,2021-10-18 06:25:28,0:02:44,6300.000000001091,299.99999999972715,0.0,0.0,1761.94,1768.76,1761.94,1769.99,68199.99999999936,80499.99999999955
94,1763.95,1764.68,1763.4,1764.52,300,2021-10-18 06:28:14,0:03:07,12799.999999999727,5699.999999999363,0.0,0.0,1761.94,1766.94,1761.94,1769.49,50000.0,75499.99999999955
95,1764.44,1765.79,1764.39,1765.5,300,2021-10-18 06:31:21,0:02:39,13999.999999998636,10599.999999999454,0.0,0.0,1761.94,1765.94,1761.94,1769.49,40000.0,75499.99999999955
96,1765.51,1765.68,1764.57,1764.7,300,2021-10-18 06:34:00,0:03:16,11100.000000001273,8099.999999999454,0.0,0.0,1761.94,1765.79,1761.94,1769.49,38499.99999999909,75499.99999999955
97,1764.7,1765.53,1764.42,1765.45,300,2021-10-18 06:37:18,0:03:08,11099.999999999,7500.0,0.0,0.0,1761.94,1765.79,1761.94,1769.49,38499.99999999909,75499.99999999955
98,1765.4,1766.8,1765.35,1766.38,300,2021-10-18 06:40:26,0:01:55,14500.000000000455,9800.000000000182,0.0,0.0,1761.94,1766.8,1761.94,1769.49,48599.999999998996,75499.99999999955
99,1766.39,1766.56,1765.31,1765.36,300,2021-10-18 06:42:21,0:02:46,12500.0,10300.000000002,0.0,0.0,1761.94,1766.8,1761.94,1769.49,48599.999999998996,75499.99999999955
100,1765.36,1765.8,1764.63,1764.64,300,2021-10-18 06:45:08,0:03:00,11699.999999998454,7199.999999997999,0.0,0.0,1761.94,1766.8,1761.94,1769.49,48599.999999998996,75499.99999999955
101,1764.62,1765.12,1764.28,1764.76,300,2021-10-18 06:48:09,0:02:49,8399.999999999181,1400.0000000010004,0.0,0.0,1761.94,1766.8,1761.94,1769.49,48599.999999998996,75499.99999999955
102,1764.76,1765.17,1764.25,1764.27,300,2021-10-18 06:50:58,0:03:10,9200.000000000728,4900.000000000091,0.0,0.0,1762.27,1766.8,1761.94,1769.49,45299.99999999972,75499.99999999955
103,1764.27,1764.8,1764.08,1764.69,300,2021-10-18 06:54:10,0:02:34,7200.000000000273,4200.000000000728,0.0,0.0,1763.02,1766.8,1761.94,1769.49,37799.99999999972,75499.99999999955
